Temperature,Year,Statistics,Country,ISO3
11.6033,1911,Aug Average,Norway,NOR
10.5162,1912,Aug Average,Norway,NOR
10.2464,1913,Aug Average,Norway,NOR
10.9155,1914,Aug Average,Norway,NOR
10.1674,1915,Aug Average,Norway,NOR
9.61572,1916,Aug Average,Norway,NOR
12.9275,1917,Aug Average,Norway,NOR
9.896469999999999,1918,Aug Average,Norway,NOR
8.82433,1919,Aug Average,Norway,NOR
9.848939999999999,1920,Aug Average,Norway,NOR
9.76914,1921,Aug Average,Norway,NOR
9.976339999999999,1922,Aug Average,Norway,NOR
8.97203,1923,Aug Average,Norway,NOR
11.6332,1924,Aug Average,Norway,NOR
11.2927,1925,Aug Average,Norway,NOR
10.9379,1926,Aug Average,Norway,NOR
11.8477,1927,Aug Average,Norway,NOR
9.88229,1928,Aug Average,Norway,NOR
9.0864,1929,Aug Average,Norway,NOR
12.2463,1930,Aug Average,Norway,NOR
9.685880000000001,1931,Aug Average,Norway,NOR
10.6005,1932,Aug Average,Norway,NOR
10.8404,1933,Aug Average,Norway,NOR
12.2012,1934,Aug Average,Norway,NOR
10.8458,1935,Aug Average,Norway,NOR
11.362,1936,Aug Average,Norway,NOR
13.5185,1937,Aug Average,Norway,NOR
11.9021,1938,Aug Average,Norway,NOR
12.7667,1939,Aug Average,Norway,NOR
9.62647,1940,Aug Average,Norway,NOR
10.1877,1941,Aug Average,Norway,NOR
10.6269,1942,Aug Average,Norway,NOR
9.68781,1943,Aug Average,Norway,NOR
10.9931,1944,Aug Average,Norway,NOR
12.4907,1945,Aug Average,Norway,NOR
11.1853,1946,Aug Average,Norway,NOR
12.4626,1947,Aug Average,Norway,NOR
9.57179,1948,Aug Average,Norway,NOR
9.62297,1949,Aug Average,Norway,NOR
12.5656,1950,Aug Average,Norway,NOR
12.1243,1951,Aug Average,Norway,NOR
9.10466,1952,Aug Average,Norway,NOR
11.1792,1953,Aug Average,Norway,NOR
10.7051,1954,Aug Average,Norway,NOR
12.2429,1955,Aug Average,Norway,NOR
8.99663,1956,Aug Average,Norway,NOR
10.3313,1957,Aug Average,Norway,NOR
11.200999999999999,1958,Aug Average,Norway,NOR
11.7466,1959,Aug Average,Norway,NOR
11.5212,1960,Aug Average,Norway,NOR
10.3044,1961,Aug Average,Norway,NOR
9.17523,1962,Aug Average,Norway,NOR
11.4527,1963,Aug Average,Norway,NOR
9.76518,1964,Aug Average,Norway,NOR
9.46932,1965,Aug Average,Norway,NOR
9.84032,1966,Aug Average,Norway,NOR
10.9794,1967,Aug Average,Norway,NOR
10.2738,1968,Aug Average,Norway,NOR
13.3442,1969,Aug Average,Norway,NOR
11.4283,1970,Aug Average,Norway,NOR
10.5381,1971,Aug Average,Norway,NOR
10.7172,1972,Aug Average,Norway,NOR
9.590489999999999,1973,Aug Average,Norway,NOR
10.6217,1974,Aug Average,Norway,NOR
11.255,1975,Aug Average,Norway,NOR
11.1339,1976,Aug Average,Norway,NOR
10.4907,1977,Aug Average,Norway,NOR
10.3594,1978,Aug Average,Norway,NOR
10.365,1979,Aug Average,Norway,NOR
11.1705,1980,Aug Average,Norway,NOR
9.81121,1981,Aug Average,Norway,NOR
10.9136,1982,Aug Average,Norway,NOR
9.78326,1983,Aug Average,Norway,NOR
10.5401,1984,Aug Average,Norway,NOR
10.8838,1985,Aug Average,Norway,NOR
9.18998,1986,Aug Average,Norway,NOR
8.711,1987,Aug Average,Norway,NOR
10.8065,1988,Aug Average,Norway,NOR
10.5225,1989,Aug Average,Norway,NOR
11.5111,1990,Aug Average,Norway,NOR
11.764000000000001,1991,Aug Average,Norway,NOR
9.70133,1992,Aug Average,Norway,NOR
9.712710000000001,1993,Aug Average,Norway,NOR
11.3585,1994,Aug Average,Norway,NOR
10.73,1995,Aug Average,Norway,NOR
13.062999999999999,1996,Aug Average,Norway,NOR
13.5208,1997,Aug Average,Norway,NOR
10.0756,1998,Aug Average,Norway,NOR
10.0971,1999,Aug Average,Norway,NOR
10.4022,2000,Aug Average,Norway,NOR
11.0057,2001,Aug Average,Norway,NOR
13.5134,2002,Aug Average,Norway,NOR
11.9113,2003,Aug Average,Norway,NOR
12.5561,2004,Aug Average,Norway,NOR
11.0963,2005,Aug Average,Norway,NOR
13.2495,2006,Aug Average,Norway,NOR
11.3152,2007,Aug Average,Norway,NOR
10.697000000000001,2008,Aug Average,Norway,NOR
12.1394,2009,Aug Average,Norway,NOR
11.056,2010,Aug Average,Norway,NOR
11.5151,2011,Aug Average,Norway,NOR
10.7486,2012,Aug Average,Norway,NOR
11.8406,2013,Aug Average,Norway,NOR
12.0517,2014,Aug Average,Norway,NOR
12.6455,2015,Aug Average,Norway,NOR
10.7289,2016,Aug Average,Norway,NOR
11.2286,1901,Aug Average,Uruguay,URY
9.12376,1902,Aug Average,Uruguay,URY
11.578,1903,Aug Average,Uruguay,URY
11.26,1904,Aug Average,Uruguay,URY
11.86,1905,Aug Average,Uruguay,URY
12.4936,1906,Aug Average,Uruguay,URY
10.5269,1907,Aug Average,Uruguay,URY
10.6045,1908,Aug Average,Uruguay,URY
14.0724,1909,Aug Average,Uruguay,URY
12.552,1910,Aug Average,Uruguay,URY
10.7512,1911,Aug Average,Uruguay,URY
10.7578,1912,Aug Average,Uruguay,URY
12.7037,1913,Aug Average,Uruguay,URY
12.4759,1914,Aug Average,Uruguay,URY
